amount,customerAvgAmount,transactionsLast10Min,transactionsLast24Hours,failedAttempts,accountAge,isNewDevice,isNewIp,previousFraudCount,paymentMethod,currency,isFraud,transactionId,customerId
76.08,79.1,1,2,0,44,0,0,0,CARD,USD,0,TXN_108522,CUS_8413
182.92,106.14,0,2,0,38,0,0,0,CARD,INR,0,TXN_102569,CUS_6551
141.22,158.92,0,0,0,66,0,0,0,CARD,USD,0,TXN_113171,CUS_4352
92.48,137.45,0,2,2,282,0,0,0,UPI,INR,0,TXN_100465,CUS_5178
571.78,361.77,0,1,0,366,0,0,0,CARD,INR,0,TXN_113354,CUS_4477
141.31,126.69,2,5,0,779,0,0,0,UPI,USD,0,TXN_108741,CUS_6932
173.91,138.24,0,2,1,40,0,0,0,CARD,USD,0,TXN_114663,CUS_3829
30.47,41.74,0,3,0,482,0,0,0,UPI,INR,0,TXN_114818,CUS_4549
64.44,52.27,1,5,0,616,1,0,0,CARD,INR,0,TXN_103173,CUS_9037
181.56,167.83,0,3,0,96,0,0,0,WALLET,INR,0,TXN_101023,CUS_2976
143.17,75.62,0,1,0,108,0,0,1,UPI,USD,0,TXN_109131,CUS_6946
33.69,58.93,0,2,0,49,0,0,0,CARD,INR,0,TXN_103148,CUS_2398
195.57,209.46,0,2,0,219,0,1,0,NET_BANKING,INR,0,TXN_114891,CUS_7577
29.57,48.3,0,2,0,68,0,1,0,CARD,INR,0,TXN_100505,CUS_2164
33.76,125.37,0,2,0,77,0,0,0,CARD,EUR,0,TXN_100174,CUS_2103
21.37,21.71,2,6,0,403,0,0,0,UPI,INR,0,TXN_108922,CUS_7893
428.92,460.06,0,0,1,96,0,0,0,CARD,EUR,0,TXN_108348,CUS_1722
111.74,79.62,0,1,1,43,1,1,0,WALLET,INR,0,TXN_112464,CUS_1328
34.57,69.66,0,3,0,78,0,0,0,CARD,INR,0,TXN_106092,CUS_2549
147.68,155.05,1,5,0,437,0,0,0,UPI,INR,0,TXN_110459,CUS_4968
137.42,91.88,0,6,0,560,0,0,0,NET_BANKING,USD,0,TXN_109809,CUS_5356
158.29,363.46,0,1,1,559,0,0,0,CARD,EUR,0,TXN_113314,CUS_5664
100.89,138.52,1,3,0,204,0,0,0,UPI,USD,0,TXN_112339,CUS_1794
148.68,117.84,0,1,0,84,0,0,0,NET_BANKING,INR,0,TXN_112929,CUS_3476
625.22,460.92,0,1,0,38,0,0,0,CARD,INR,0,TXN_110719,CUS_8950
179.51,405.1,0,1,0,128,0,0,0,WALLET,INR,0,TXN_107499,CUS_3250
111.51,74.02,0,5,0,75,0,0,0,CARD,EUR,0,TXN_103015,CUS_5635
146.9,107.58,0,3,0,476,0,0,0,CARD,USD,0,TXN_103547,CUS_6997
240.38,269.88,0,1,0,42,1,0,0,CARD,INR,0,TXN_101914,CUS_3326
66.49,66.45,0,1,0,155,0,0,0,WALLET,INR,0,TXN_103812,CUS_1829
62.97,66.59,2,5,0,250,0,0,0,UPI,INR,0,TXN_110197,CUS_1803
153.53,135.52,0,1,0,209,0,0,0,WALLET,INR,0,TXN_103622,CUS_9039
684.32,581.56,2,3,0,71,0,0,0,CARD,INR,0,TXN_113453,CUS_8717
34.05,75.96,0,2,0,664,0,0,0,CARD,INR,0,TXN_106518,CUS_7314
61.55,41.7,0,2,0,726,0,0,0,NET_BANKING,INR,0,TXN_105031,CUS_2907
280.46,320.48,1,1,0,69,0,0,0,CARD,INR,0,TXN_106620,CUS_9968
132.35,103.78,0,1,0,780,0,0,0,UPI,INR,0,TXN_100345,CUS_4601
306.37,259.22,0,3,0,183,0,0,0,NET_BANKING,INR,0,TXN_106895,CUS_6852
32.4,52.54,1,4,0,312,0,0,0,WALLET,INR,0,TXN_112154,CUS_9971
337.35,263.14,0,1,0,162,0,0,0,CARD,INR,0,TXN_114745,CUS_4823
57.16,105.67,1,3,1,272,0,0,0,CARD,USD,0,TXN_108158,CUS_2830
257.57,42.79,4,6,5,64,1,1,1,WALLET,INR,1,TXN_108425,CUS_5254
66.74,70.52,0,2,1,374,1,0,0,NET_BANKING,USD,0,TXN_100530,CUS_6483
98.59,115.47,2,4,0,299,0,1,0,CARD,INR,0,TXN_101517,CUS_6088
93.04,110.7,0,2,0,192,0,0,0,UPI,INR,0,TXN_106731,CUS_2133
